Source code repositories,,Issue tracking systems,,Architectural documentation,,,,,,,,,
System,# papers,System,# papers,System,# papers,,,,,,,,
openPDC,1,,,,,openPDC,openPDC,,,,,,
Opensudoku,1,,,,,Opensudoku,Opensudoku,,,,,,
OpenWrt,1,,,,,OpenWrt,OpenWrt,,,,,,
oscache,1,,,,,oscache,oscache,,,,,,
pandas,1,,,,,pandas,pandas,,,,,,
petclinic,1,,,,,petclinic,petclinic,,,,,,
picocontainer,1,,,,,picocontainer,picocontainer,,,,,,
pmd,1,,,,,pmd,pmd,,,,,,
pooka,1,,,,,pooka,pooka,,,,,,
presto,1,,,,,presto,presto,,,,,,
proguard,1,,,,,proguard,proguard,,,,,,
Qt,1,,,,,Qt,Qt,,,,,,
quartz,1,,,,,quartz,quartz,,,,,,
quasar,1,,,,,quasar,quasar,,,,,,
quickserver,1,,,,,quickserver,quickserver,,,,,,
Rebus,1,,,,,Rebus,Rebus,,,,,,
redmine,1,,,,,redmine,redmine,,,,,,
Replicaisland,1,,,,,Replicaisland,Replicaisland,,,,,,
Rhino,1,,,,,Rhino,Rhino,,,,,,
Ringdroid,1,,,,,Ringdroid,Ringdroid,,,,,,
Robolectric,1,,,,,Robolectric,Robolectric,,,,,,
Robot-shop,1,,,,,Robot-shop,Robot-shop,,,,,,
rssowl,1,,,,,rssowl,rssowl,,,,,,
rstat.us,1,,,,,rstat.us,rstat.us,,,,,,
sablecc,1,,,,,sablecc,sablecc,,,,,,
SalesPlus,1,,,,,SalesPlus,SalesPlus,,,,,,
sandmark,1,,,,,sandmark,sandmark,,,,,,
Scriptcs,1,,,,,Scriptcs,Scriptcs,,,,,,
Search Light,1,,,,,Search Light,Search Light,,,,,,
Selenium,1,,,,,Selenium,Selenium,,,,,,
Share My Position,1,,,,,Share My Position,Share My Position,,,,,,
sharetribe,1,,,,,sharetribe,sharetribe,,,,,,
SignalR,1,,,,,SignalR,SignalR,,,,,,
SimpleData,1,,,,,SimpleData,SimpleData,,,,,,
Sipdroid,1,,,,,Sipdroid,Sipdroid,,,,,,
SIPLOM,1,,,,,SIPLOM,SIPLOM,,,,,,
slf4j,1,,,,,slf4j,slf4j,,,,,,
Sock Shop,1,,,,,Sock Shop,Sock Shop,,,,,,
SoftServe,1,,,,,SoftServe,SoftServe,,,,,,
Soletta,1,,,,,Soletta,Soletta,,,,,,
Solitaire,1,,,,,Solitaire,Solitaire,,,,,,
Solo,1,,,,,Solo,Solo,,,,,,
Solr,1,,,,,Solr,Solr,,,,,,
SolrNet,1,,,,,SolrNet,SolrNet,,,,,,
Sonarlint,1,,,,,Sonarlint,Sonarlint,,,,,,
spark,1,,,,,spark,spark,,,,,,
Speedment,1,,,,,Speedment,Speedment,,,,,,
Spina,1,,,,,Spina,Spina,,,,,,
Springblog,1,,,,,Springblog,Springblog,,,,,,
Spring-boot,1,,,,,Spring-boot,Spring-boot,,,,,,
springframework,1,,,,,springframework,springframework,,,,,,
SQuirreL SQL,1,,,,,SQuirreL SQL,SQuirreL SQL,,,,,,
squirrel_sql,1,,,,,squirrel_sql,squirrel_sql,,,,,,
SubscriberDB,1,,,,,SubscriberDB,SubscriberDB,,,,,,
sunflow,1,,,,,sunflow,sunflow,,,,,,
sunrise-java,1,,,,,sunrise-java,sunrise-java,,,,,,
Swagger,1,,,,,Swagger,Swagger,,,,,,
SweetHome3D,1,,,,,SweetHome3D,SweetHome3D,,,,,,
System J,1,,,,,System J,System J,,,,,,
tablesaw,1,,,,,tablesaw,tablesaw,,,,,,
tapestry,1,,,,,tapestry,tapestry,,,,,,
Terrier,1,,,,,Terrier,Terrier,,,,,,
Thunderbird,1,,,,,Thunderbird,Thunderbird,,,,,,
Tiki,1,,,,,Tiki,Tiki,,,,,,
TNTConc.,1,,,,,TNTConc.,TNTConc.,,,,,,
trove,1,,,,,trove,trove,,,,,,
velocity,1,,,,,velocity,velocity,,,,,,
Vooga,1,,,,,Vooga,Vooga,,,,,,
VTK,1,,,,,VTK,VTK,,,,,,
wagtail,1,,,,,wagtail,wagtail,,,,,,
wct,1,,,,,wct,wct,,,,,,
Webfx,1,,,,,Webfx,Webfx,,,,,,
webmail,1,,,,,webmail,webmail,,,,,,
xalan,1,,,,,xalan,xalan,,,,,,
xmojo,1,,,,,xmojo,xmojo,,,,,,
Xwiki-platform,1,,,,,Xwiki-platform,Xwiki-platform,,,,,,
Zirco Browser,1,,,,,Zirco Browser,Zirco Browser,,,,,,
Zxing,1,,,,,Zxing,Zxing,,,,,,
,,,,,,Hadoop,Dopler,,,,,,
,,,,,,Camel,goa,,,,,,
,,,,,,<Industry>,"Hadoop, ofBiz",,,,,,
,,,,,,CXF,"Hadoop, Spark",,,,,,
,,,,,,Cassandra,JSPWiki,,,,,,
,,,,,,OpenJPA,light-4j,,,,,,
,,,,,,Wicket,Microservices-demo,,,,,,
,,,,,,Hbase,MINA,,,,,,
,,,,,,PDFBox,Moleculer,,,,,,
,,,,,,Avro,Spark,,,,,,
,,,,,,Derby,Tajo,,,,,,
,,,,,,Ivy,<Google Code>,,,,,,
,,,,,,Mahout,Home Assistant,,,,,,
,,,,,,Pig,JFreeChart,,,,,,
,,,,,,Struts,MSLite,,,,,,
,,,,,,Zookeeper,Mediastore,,,,,,
,,,,,,Eclipse,OpenEHR,,,,,,
,,,,,,<GitHub>,OpenKM,,,,,,
,,,,,,Nutch,<Sourceforge>,,,,,,
,,,,,,Tika,Teammates,,,,,,
,,,,,,ActiveMQ,Teastore,,,,,,
,,,,,,Apache,Tigris,,,,,,
,,,,,,HDFS,VLC,,,,,,
,,,,,,Hive,<Book>,,,,,,
,,,,,,Httpd,Audacity,,,,,,
,,,,,,Lucene,GIMP,,,,,,
,,,,,,PHP,,,,,,,
,,,,,,airflow,,,,,,,
,,,,,,allura,,,,,,,
,,,,,,Android,,,,,,,
,,,,,,ArgoUML,,,,,,,
,,,,,,bitbake,,,,,,,
,,,,,,celery,,,,,,,
,,,,,,certbot,,,,,,,
,,,,,,chatterBot,,,,,,,
,,,,,,cherrypy,,,,,,,
,,,,,,Chrome,,,,,,,
,,,,,,Chromium,,,,,,,
,,,,,,cobbler,,,,,,,
,,,,,,codespeed,,,,,,,
,,,,,,Continuum,,,,,,,
,,,,,,deluge,,,,,,,
,,,,,,Dopler,,,,,,,
,,,,,,dymos,,,,,,,
,,,,,,eShopOnContainers,,,,,,,
,,,,,,Flink,,,,,,,
,,,,,,gajim,,,,,,,
,,,,,,gensim,,,,,,,
,,,,,,goa,,,,,,,
,,,,,,Groovy,,,,,,,
,,,,,,gunicorn,,,,,,,
,,,,,,"Hadoop, ofBiz",,,,,,,
,,,,,,"Hadoop, Spark",,,,,,,
,,,,,,HealthWatcher,,,,,,,
,,,,,,Hibernate,,,,,,,
,,,,,,horizon,,,,,,,
,,,,,,Ignite,,,,,,,
,,,,,,ipython,,,,,,,
,,,,,,JackRabbit,,,,,,,
,,,,,,JBoss,,,,,,,
